Column1,Y,X,인접지 주소(동),이미지 주소
0,37.52994485,126.8377467,양천구 신월동,img/portfolio/1.png
1,37.52053167,126.905053,영등포구 영등포동5가,img/portfolio/2.png
2,37.52091948,126.9050923,영등포구 영등포동5가,img/portfolio/3.png
3,37.52125309,126.9047802,영등포구 영등포동6가,img/portfolio/4.png
4,37.52560222,126.9069756,영등포구 영등포동8가,img/portfolio/5.png
5,37.53000873,126.9213287,영등포구 여의도동,img/portfolio/6.png
6,37.52867089,126.9191529,영등포구 여의도동,img/portfolio/7.png
7,37.58073697,127.0456258,동대문구 청량리동,img/portfolio/8.png
8,37.58042882,127.0449285,동대문구 청량리동,img/portfolio/9.png
9,37.58968976,127.0585128,동대문구 휘경동,img/portfolio/10.png
10,37.58980735,127.0617064,동대문구 휘경동,img/portfolio/11.png
11,37.58999205,127.0561767,동대문구 휘경동,img/portfolio/12.png
12,37.60646268,127.0280046,성북구 하월곡동,img/portfolio/13.png
13,37.60668955,127.0278257,성북구 길음동,img/portfolio/14.png
14,37.60299623,127.0227719,성북구 길음동,img/portfolio/15.png
15,37.60229403,127.0189377,성북구 정릉동,img/portfolio/16.png
16,37.59316309,127.0182565,성북구 동선동1가,img/portfolio/17.png
17,37.59145457,127.0196857,성북구 동선동1가,img/portfolio/18.png
18,37.54711308,126.9454499,마포구 염리동,img/portfolio/19.png
19,37.54619423,126.9524379,마포구 공덕동,img/portfolio/20.png
20,37.55262004,126.9237288,마포구 서교동,img/portfolio/21.png
21,37.52404278,126.9269277,영등포구 여의도동,img/portfolio/22.png
22,37.52326404,126.932494,영등포구 여의도동,img/portfolio/23.png
23,37.56534738,126.9011585,마포구 성산동,img/portfolio/24.png
24,37.57750628,126.9220405,서대문구 남가좌동,img/portfolio/25.png
25,37.57477066,127.0252635,동대문구 신설동,img/portfolio/26.png
26,37.55279911,126.9565715,마포구 아현동,img/portfolio/27.png
27,37.61680927,127.0491472,성북구 장위동,img/portfolio/28.png
28,37.61219376,127.0557606,성북구 장위동,img/portfolio/29.png
29,37.60895987,127.0525003,성북구 장위동,img/portfolio/30.png
30,37.60411665,127.0373325,성북구 하월곡동,img/portfolio/31.png
31,37.60155622,127.0330181,성북구 종암동,img/portfolio/32.png
32,37.57871193,127.0430897,동대문구 전농동,img/portfolio/33.png
33,37.56961459,127.064127,동대문구 답십리동,img/portfolio/34.png
34,37.59476212,127.0643103,동대문구 이문동,img/portfolio/35.png
35,37.51982085,126.9300255,영등포구 여의도동,img/portfolio/36.png
36,37.52048961,126.9285436,영등포구 여의도동,img/portfolio/37.png
37,37.52026654,126.9363836,영등포구 여의도동,img/portfolio/38.png
38,37.52492685,126.8966382,영등포구 당산동3가,img/portfolio/39.png
39,37.52567,126.8963917,영등포구 당산동3가,img/portfolio/40.png
40,37.52604691,126.8990548,영등포구 당산동3가,img/portfolio/41.png
41,37.51366494,126.8993285,영등포구 문래동1가,img/portfolio/42.png
42,37.5349461,126.896798,영등포구 양평동4가,img/portfolio/43.png
43,37.5113223,126.9129505,영등포구 신길동,img/portfolio/44.png
44,37.50409519,126.9033719,영등포구 신길동,img/portfolio/45.png
45,37.52756738,126.8639681,양천구 신정동,img/portfolio/46.png
46,37.55723439,126.9377992,서대문구 창천동,img/portfolio/47.png
47,37.51970848,126.8597535,양천구 신정동,img/portfolio/48.png
48,37.54151605,126.9482469,마포구 도화동,img/portfolio/49.png
49,37.53884761,126.9463155,마포구 마포동,img/portfolio/50.png
50,37.53940591,126.9461492,마포구 도화동,img/portfolio/51.png
51,37.55481396,126.9373636,마포구 노고산동,img/portfolio/52.png
52,37.55026919,126.9549191,마포구 아현동,img/portfolio/53.png
53,37.555768,126.9406823,마포구 노고산동,img/portfolio/54.png
54,37.55696397,126.9517083,마포구 아현동,img/portfolio/55.png
55,37.53471474,127.0944955,광진구 구의동,img/portfolio/56.png
56,37.49890991,127.0269039,서초구 서초동,img/portfolio/57.png
57,37.53464035,127.091897,광진구 구의동,img/portfolio/58.png
58,37.53792059,127.077404,광진구 자양동,img/portfolio/59.png
59,37.53568353,127.0837192,광진구 자양동,img/portfolio/60.png
60,37.53311757,127.0847557,광진구 자양동,img/portfolio/61.png
61,37.5722799,127.0742333,동대문구 장안동,img/portfolio/62.png
62,37.53114115,127.0844626,광진구 자양동,img/portfolio/63.png
63,37.53394432,127.0681548,광진구 자양동,img/portfolio/64.png
64,37.54197398,127.0641877,광진구 자양동,img/portfolio/65.png
65,37.54308508,127.071951,광진구 화양동,img/portfolio/66.png
66,37.54060906,127.0706952,광진구 화양동,img/portfolio/67.png
67,37.54926649,127.0708528,광진구 군자동,img/portfolio/68.png
68,37.55647358,127.0789098,광진구 군자동,img/portfolio/69.png
69,37.53190211,127.0798094,광진구 자양동,img/portfolio/70.png
70,37.53738821,127.0837165,광진구 자양동,img/portfolio/71.png
71,37.5359298,127.0663592,광진구 자양동,img/portfolio/72.png
72,37.56646896,126.9798424,중구 을지로1가,img/portfolio/73.png
73,37.56677475,126.9812117,중구 을지로1가,img/portfolio/74.png
74,37.567905,126.9797214,중구 무교동,img/portfolio/75.png
75,37.55419575,127.0104637,중구 신당동,img/portfolio/76.png
76,37.55562819,127.0108129,중구 신당동,img/portfolio/77.png
77,37.56596744,126.9897297,중구 을지로2가,img/portfolio/78.png
78,37.56562674,126.9728856,중구 정동,img/portfolio/79.png
79,37.55864899,126.9789807,중구 회현동1가,img/portfolio/80.png
80,37.5615048,126.9931149,중구 충무로3가,img/portfolio/81.png
81,37.56092697,126.9935582,중구 필동1가,img/portfolio/82.png
82,37.57545849,126.9354678,서대문구 연희동,img/portfolio/83.png
83,37.56237045,126.9696351,중구 순화동,img/portfolio/84.png
84,37.52618391,127.0006912,용산구 보광동,img/portfolio/85.png
85,37.5326674,126.9516162,용산구 원효로4가,img/portfolio/86.png
86,37.53384895,126.9638862,용산구 한강로3가,img/portfolio/87.png
87,37.53345601,126.9735852,용산구 한강로1가,img/portfolio/88.png
88,37.52997196,126.9689266,용산구 한강로2가,img/portfolio/89.png
89,37.52844344,126.9669577,용산구 한강로2가,img/portfolio/90.png
90,37.53078316,126.9958544,용산구 이태원동,img/portfolio/91.png
91,37.53062053,126.9909928,용산구 이태원동,img/portfolio/92.png
92,37.5484431,126.9698306,용산구 청파동1가,img/portfolio/93.png
93,37.53306041,126.9625249,용산구 한강로3가,img/portfolio/94.png
94,37.52542435,126.9622958,용산구 한강로3가,img/portfolio/95.png
95,37.53382062,126.9617362,용산구 신계동,img/portfolio/96.png
96,37.53388337,126.9583562,용산구 원효로3가,img/portfolio/97.png
97,37.52544868,126.9633792,용산구 한강로3가,img/portfolio/98.png
98,37.52542043,126.9645465,용산구 한강로3가,img/portfolio/99.png
99,37.53447091,126.9918184,용산구 이태원동,img/portfolio/100.png
100,37.53427325,126.9957036,용산구 이태원동,img/portfolio/101.png
101,37.53824371,127.0013552,용산구 한남동,img/portfolio/102.png
102,37.53694735,127.1478591,강동구 길동,img/portfolio/103.png
103,37.54996102,126.9773305,용산구 후암동,img/portfolio/104.png
104,37.55157606,126.9721067,용산구 동자동,img/portfolio/105.png
105,37.54476731,126.9668093,용산구 청파동3가,img/portfolio/106.png
106,37.56095474,126.9059076,마포구 성산동,img/portfolio/107.png
107,37.54366235,126.9725809,용산구 남영동,img/portfolio/108.png
108,37.54258728,126.9728659,용산구 남영동,img/portfolio/109.png
109,37.59780636,126.9099618,은평구 신사동,img/portfolio/110.png
110,37.60350699,126.9103446,은평구 역촌동,img/portfolio/111.png
111,37.60033276,126.9195064,은평구 응암동,img/portfolio/112.png
112,37.48685913,126.9824704,서초구 방배동,img/portfolio/113.png
113,37.56123372,126.9822012,중구 충무로1가,img/portfolio/114.png
114,37.58519417,126.9482319,서대문구 홍제동,img/portfolio/115.png
115,37.56182123,126.983,중구 명동2가,img/portfolio/116.png
116,37.56081146,126.9832757,중구 충무로1가,img/portfolio/117.png
117,37.5568838,126.9835569,중구 회현동2가,img/portfolio/118.png
118,37.5408347,126.9692542,용산구 원효로1가,img/portfolio/119.png
119,37.54018497,126.969201,용산구 원효로1가,img/portfolio/120.png
120,37.53695832,126.9694914,용산구 문배동,img/portfolio/121.png
121,37.53576854,126.9621171,용산구 원효로2가,img/portfolio/122.png
122,37.56441146,127.006462,중구 광희동1가,img/portfolio/123.png
123,37.55947202,126.9455156,서대문구 대현동,img/portfolio/124.png
124,37.6837814,127.0461507,도봉구 도봉동,img/portfolio/125.png
125,37.56163278,126.9856892,중구 충무로2가,img/portfolio/126.png
126,37.56169903,126.9860336,중구 충무로2가,img/portfolio/127.png
127,37.56060507,126.9856963,중구 남산동2가,img/portfolio/128.png
128,37.56126894,126.9879973,중구 충무로2가,img/portfolio/129.png
129,37.57225544,126.9845217,종로구 효제동,img/portfolio/130.png
130,37.57079477,126.9875161,종로구 인사동,img/portfolio/131.png
131,37.57342363,126.9982542,종로구 인의동,img/portfolio/132.png
132,37.58169164,127.0017786,종로구 명륜4가,img/portfolio/133.png
133,37.5742563,126.9583511,종로구 무악동,img/portfolio/134.png
134,37.5757876,127.0227588,종로구 숭인동,img/portfolio/135.png
135,37.57313132,127.0226115,종로구 숭인동,img/portfolio/136.png
136,37.57149712,126.9832003,종로구 공평동,img/portfolio/137.png
137,37.5694851,126.9895762,종로구 관수동,img/portfolio/138.png
138,37.56971603,126.9844142,종로구 관철동,img/portfolio/139.png
139,37.56947703,126.9885834,종로구 관철동,img/portfolio/140.png
140,37.5689934,126.9875261,종로구 관철동,img/portfolio/141.png
141,37.56701281,126.9656731,종로구 서린동,img/portfolio/142.png
142,37.57153119,126.9626852,종로구 홍파동,img/portfolio/143.png
143,37.57062547,126.9895961,종로구 종로2가,img/portfolio/144.png
144,37.57145333,126.9890702,종로구 낙원동,img/portfolio/145.png
145,37.5705125,126.9757599,종로구 신문로1가,img/portfolio/146.png
146,37.57001545,126.9746279,종로구 신문로1가,img/portfolio/147.png
147,37.57029157,126.9740683,종로구 신문로1가,img/portfolio/148.png
148,37.56946635,126.971056,종로구 신문로2가,img/portfolio/149.png
149,37.57615954,126.9844615,종로구 안국동,img/portfolio/150.png
150,37.57486654,127.0007583,종로구 연지동,img/portfolio/151.png
151,37.56913797,126.9978262,종로구 예지동,img/portfolio/152.png
152,37.56496162,127.0137387,중구 신당동,img/portfolio/153.png
153,37.5653817,127.0171857,중구 신당동,img/portfolio/154.png
154,37.5657248,127.0184148,중구 황학동,img/portfolio/155.png
155,37.56550829,127.0187178,중구 신당동,img/portfolio/156.png
156,37.56578838,127.0202991,중구 황학동,img/portfolio/157.png
157,37.5656728,127.021412,중구 황학동,img/portfolio/158.png
158,37.56508599,127.0234135,중구 신당동,img/portfolio/159.png
159,37.56088552,126.9679784,중구 중림동,img/portfolio/160.png
160,37.56166225,126.9701588,중구 순화동,img/portfolio/161.png
161,37.56007123,126.9738133,중구 봉래동1가,img/portfolio/162.png
162,37.55703075,126.9748556,중구 남대문로5가,img/portfolio/163.png
163,37.55795414,126.9754021,중구 남대문로5가,img/portfolio/164.png
164,37.55884083,126.9751724,중구 남대문로5가,img/portfolio/165.png
165,37.57055279,127.0263784,성동구 상왕십리동,img/portfolio/166.png
166,37.56392845,126.9803719,중구 소공동,img/portfolio/167.png
167,37.56386944,126.981008,중구 명동2가,img/portfolio/168.png
168,37.56548188,126.9837996,중구 을지로2가,img/portfolio/169.png
169,37.56548097,126.9841042,중구 을지로2가,img/portfolio/170.png
170,37.56451477,126.9840964,중구 을지로2가,img/portfolio/171.png
171,37.56384118,126.9823522,중구 남대문로2가,img/portfolio/172.png
172,37.56328583,126.9838662,중구 명동2가,img/portfolio/173.png
173,37.56295064,126.982406,중구 명동2가,img/portfolio/174.png
